iter	Logloss
0	0.6359879207
1	0.5883183294
2	0.547390153
3	0.514790348
4	0.4868656265
5	0.4630064482
6	0.4439592721
7	0.4301912275
8	0.418168466
9	0.4113064164
10	0.3927516778
11	0.3782830062
12	0.3702405125
13	0.3658462103
14	0.3611947426
15	0.359260044
16	0.3569441221
17	0.3494329764
18	0.3478725794
19	0.3411304678
20	0.3368338277
21	0.3296307581
22	0.3246081339
23	0.3183363621
24	0.306561238
25	0.3062123055
26	0.3049206614
27	0.3040137292
28	0.2999619921
29	0.2956832099
30	0.2930050289
31	0.2887408724
32	0.2795147632
33	0.2793545972
34	0.2790022326
35	0.2785219538
36	0.2734945536
37	0.2720130684
38	0.270375369
39	0.2694226179
40	0.2627882805
41	0.2522245636
42	0.2426210743
43	0.2422199702
44	0.2391597514
45	0.2361135796
46	0.2311156023
47	0.2272813483
48	0.2216302015
49	0.2144079562
50	0.2073631412
51	0.2016600261
52	0.1933318342
53	0.1886840005
54	0.185764137
55	0.1839388525
56	0.1785657406
57	0.1757419733
58	0.1713244363
59	0.1681720917
60	0.1658447044
61	0.1655605212
62	0.1626047272
63	0.1585635451
64	0.1568928285
