iter	Passed	Remaining
0	191	191093
1	233	116538
2	260	86667
3	279	69603
4	342	68228
5	407	67468
6	475	67488
7	543	67346
8	609	67109
9	639	63280
10	700	62997
11	758	62416
12	827	62863
13	852	60071
14	915	60129
15	943	58024
16	978	56570
17	1041	56824
18	1067	55099
19	1128	55310
20	1194	55665
21	1257	55891
22	1327	56394
23	1396	56796
24	1463	57077
25	1495	56017
26	1528	55069
27	1542	53561
28	1603	53689
29	1684	54475
30	1758	54981
31	1828	55301
32	1897	55591
33	1914	54402
34	1933	53315
35	1967	52674
36	2045	53238
37	2116	53590
38	2187	53894
39	2226	53426
40	2303	53886
41	2380	54306
42	2450	54538
43	2469	53660
44	2546	54051
45	2617	54292
46	2686	54480
47	2756	54673
48	2834	55009
49	2916	55409
50	2986	55580
51	3064	55871
52	3132	55979
53	3202	56102
54	3277	56317
55	3365	56726
56	3437	56868
57	3510	57014
58	3590	57264
59	3657	57304
60	3724	57329
61	3750	56746
62	3811	56693
63	3881	56768
64	3949	56813
